AssetID,AssetName,EquipmentCategory,CategoryGroup,CriticalityRating,Subsystem,Location,Manufacturer,InstallDate,CurrentStatus,DataOrigin,IsIllustrative
LNG-PMP-001,Process Pump 001,Pump,Rotating Equipment,A,Liquefaction Support,Train 1,ABB,2008-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-002,Gas Compressor 002,Compressor,Rotating Equipment,A,Gas Compression,Train 2,Mitsubishi Heavy Industries,2019-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-003,Electric Motor 003,Electrical,Electrical,A,Electrical Distribution,Utilities,ABB,2018-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-004,Utility Generator 004,Generator,Power Generation,A,Power Generation,Utilities,ABB,2019-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-005,Cooling Water Pump 005,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 2,ABB,2024-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-006,Process Pump 006,Pump,Rotating Equipment,B,Liquefaction Support,Common Area,ABB,2019-01-01,Operating,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-007,Gas Compressor 007,Compressor,Rotating Equipment,A,Gas Compression,Train 1,ABB,2006-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-008,Electric Motor 008,Electrical,Electrical,A,Electrical Distribution,Utilities,ABB,2010-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-009,Utility Generator 009,Generator,Power Generation,A,Power Generation,Utilities,Mitsubishi Heavy Industries,2019-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-010,Cooling Water Pump 010,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 1,ABB,2016-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-011,Process Pump 011,Pump,Rotating Equipment,A,Liquefaction Support,Train 2,GE Vernova,2020-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-012,Gas Compressor 012,Compressor,Rotating Equipment,A,Gas Compression,Common Area,ABB,2017-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-013,Electric Motor 013,Electrical,Electrical,A,Electrical Distribution,Utilities,Siemens Energy,2011-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-014,Utility Generator 014,Generator,Power Generation,A,Power Generation,Utilities,ABB,2025-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-015,Cooling Water Pump 015,Pump,Rotating Equipment,A,Utilities - Cooling Water,Common Area,ABB,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-016,Process Pump 016,Pump,Rotating Equipment,A,Liquefaction Support,Train 1,Siemens Energy,2023-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-017,Gas Compressor 017,Compressor,Rotating Equipment,A,Gas Compression,Train 2,Siemens Energy,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-018,Electric Motor 018,Electrical,Electrical,A,Electrical Distribution,Utilities,ABB,2011-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-019,Utility Generator 019,Generator,Power Generation,A,Power Generation,Utilities,ABB,2009-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-020,Cooling Water Pump 020,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 2,GE Vernova,2010-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-021,Process Pump 021,Pump,Rotating Equipment,A,Liquefaction Support,Common Area,GE Vernova,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-022,Gas Compressor 022,Compressor,Rotating Equipment,A,Gas Compression,Train 1,Siemens Energy,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-023,Electric Motor 023,Electrical,Electrical,A,Electrical Distribution,Utilities,Siemens Energy,2009-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-024,Utility Generator 024,Generator,Power Generation,A,Power Generation,Utilities,Siemens Energy,2006-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-025,Cooling Water Pump 025,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 1,Mitsubishi Heavy Industries,2010-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-026,Process Pump 026,Pump,Rotating Equipment,A,Liquefaction Support,Train 2,ABB,2023-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-027,Gas Compressor 027,Compressor,Rotating Equipment,A,Gas Compression,Common Area,ABB,2017-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-028,Electric Motor 028,Electrical,Electrical,A,Electrical Distribution,Utilities,Mitsubishi Heavy Industries,2025-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
